,stemMin,stemMax,numberOfStemPeers,stemReductionMin,stemReductionMax,hops_mean,hops_median,hops_stdd,hops_min,hops_max,starting_stem_mean,starting_stem_median,starting_stem_stdd,starting_stem_min,starting_stem_max
79,1,3,2,0.5,2.0,1.5518,1.0,0.6477011347836283,1,6,2.007,2.0,0.8185053451261024,1,3
80,1,3,2,0.6,0.6,2.3741,2.0,1.1896004329185492,1,9,1.9968,2.0,0.813996167067143,1,3
81,1,3,2,0.6,0.7,2.287,2.0,1.1326212959325814,1,8,1.9787,2.0,0.8252552998921001,1,3
82,1,3,2,0.6,0.8,2.2501,2.0,1.076916890943772,1,9,1.9987,2.0,0.8214002130508612,1,3
83,1,3,2,0.6,0.9,2.2055,2.0,1.0193477080957214,1,8,1.9933,2.0,0.8150184721832997,1,3
84,1,3,2,0.6,1.0,2.1822,2.0,0.9859022061036278,1,7,2.0017,2.0,0.8173720756179526,1,3
85,1,3,2,0.6,1.1,2.0002,2.0,0.9170604996400183,1,6,1.9995,2.0,0.8178629163863587,1,3
86,1,3,2,0.6,1.2000000000000002,1.876,2.0,0.8723668952911957,1,6,1.984,2.0,0.8200878001775176,1,3
87,1,3,2,0.6,1.3,1.7944,2.0,0.812975177972858,1,6,2.004,2.0,0.8116550991646635,1,3
88,1,3,2,0.6,1.4,1.7352,2.0,0.7724512670712631,1,6,2.0082,2.0,0.8214211830723627,1,3
89,1,3,2,0.6,1.5,1.6674,2.0,0.7356474971071403,1,6,1.9945,2.0,0.8201644652141423,1,3
90,1,3,2,0.6,1.6,1.6377,2.0,0.7074169279851875,1,5,2.0076,2.0,0.8192327141905406,1,3
91,1,3,2,0.6,1.7000000000000002,1.5979,1.0,0.67706394823532,1,6,2.0074,2.0,0.818868267794033,1,3
92,1,3,2,0.6,1.8000000000000003,1.5579,1.0,0.6501135208561655,1,6,2.0011,2.0,0.8147998465881053,1,3
93,1,3,2,0.6,1.9,1.5338,1.0,0.6326591183251846,1,5,1.9956,2.0,0.8161988973283413,1,3
94,1,3,2,0.6,2.0,1.5242,1.0,0.6221047821709781,1,6,2.0076,2.0,0.8192327141905407,1,3
95,1,3,2,0.6,2.1,1.4657,1.0,0.5966770567065571,1,5,1.9902,2.0,0.818232216427586,1,3
96,1,3,2,0.7,0.7,2.1861,2.0,1.0102805501443646,1,10,1.9937,2.0,0.8175942208699863,1,3
97,1,3,2,0.7,0.7999999999999999,2.1682,2.0,0.980769473423801,1,7,2.0086,2.0,0.8164104604915349,1,3
98,1,3,2,0.7,0.8999999999999999,2.1304,2.0,0.9495240070688049,1,7,1.9964,2.0,0.817794008293042,1,3
99,1,3,2,0.7,1.0,2.1156,2.0,0.9251143929266261,1,6,2.0017,2.0,0.8138163859249825,1,3
100,1,3,2,0.7,1.1,1.9549,2.0,0.8743374577358561,1,6,2.004,2.0,0.8164459565703047,1,3
101,1,3,2,0.7,1.2,1.8408,2.0,0.8199118001346242,1,5,1.9982,2.0,0.8163312807923019,1,3
102,1,3,2,0.7,1.3,1.752,2.0,0.7740129197888107,1,7,2.0017,2.0,0.8132017646316319,1,3
103,1,3,2,0.7,1.4,1.6679,2.0,0.725540894781266,1,5,1.9847,2.0,0.8195522619089034,1,3
104,1,3,2,0.7,1.5,1.6383,2.0,0.6977629325207809,1,5,2.0101,2.0,0.8140012223578046,1,3
105,1,3,2,0.7,1.6,1.6007,2.0,0.6701190267407724,1,6,2.0071,2.0,0.8159960722944688,1,3
106,1,3,2,0.7,1.7,1.5511,1.0,0.6406159457896751,1,5,1.9944,2.0,0.8160690166891523,1,3
107,1,3,2,0.7,1.8,1.5404,1.0,0.6209410922140681,1,5,2.012,2.0,0.8141596894958629,1,3
108,1,3,2,0.7,1.9000000000000001,1.51,1.0,0.604400529450463,1,4,2.0013,2.0,0.8228598361811081,1,3
109,1,3,2,0.7,2.0,1.4966,1.0,0.593791579596747,1,5,2.0066,2.0,0.8156938396236666,1,3
110,1,3,2,0.7,2.1,1.4486,1.0,0.5758107675269715,1,4,2.0008,2.0,0.8144933148896926,1,3
111,1,3,2,0.7,2.2,1.4214,1.0,0.5619804622938416,1,4,2.0121,2.0,0.8164273329574409,1,3
112,1,3,2,0.7999999999999999,0.7999999999999999,2.0842,2.0,0.9022806437023905,1,5,2.0001,2.0,0.821766384077616,1,3
113,1,3,2,0.7999999999999999,0.8999999999999999,2.0661,2.0,0.8833633397419206,1,5,2.002,2.0,0.8208507781564198,1,3
114,1,3,2,0.7999999999999999,1.0,2.0421,2.0,0.8674834811107356,1,5,1.9896,2.0,0.8151636890833643,1,3
115,1,3,2,0.7999999999999999,1.1,1.8765,2.0,0.8174642194004578,1,5,1.9742,2.0,0.8134705649253696,1,3
116,1,3,2,0.7999999999999999,1.2,1.7934,2.0,0.7793051007147331,1,5,2.007,2.0,0.8182609608187353,1,3
117,1,3,2,0.7999999999999999,1.2999999999999998,1.716,2.0,0.7330375160931397,1,4,2.0056,2.0,0.8123845394885355,1,3
118,1,3,2,0.7999999999999999,1.4,1.6404,2.0,0.6885403691868763,1,5,2.0083,2.0,0.8201409086248531,1,3
119,1,3,2,0.7999999999999999,1.5,1.6019,2.0,0.6559088275057747,1,5,2.0119,2.0,0.8113928703162236,1,3
120,1,3,2,0.7999999999999999,1.6,1.5597,1.0,0.6359527576793735,1,5,1.9988,2.0,0.8186565580266245,1,3
121,1,3,2,0.7999999999999999,1.7,1.5305,1.0,0.6151989515595747,1,4,1.9977,2.0,0.8124621283481465,1,3
122,1,3,2,0.7999999999999999,1.7999999999999998,1.5025,1.0,0.5888919680213001,1,4,2.0107,2.0,0.8086937059233242,1,3
123,1,3,2,0.7999999999999999,1.9,1.4861,1.0,0.5793157947095867,1,4,2.0005,2.0,0.8170065789208799,1,3
124,1,3,2,0.7999999999999999,2.0,1.4784,1.0,0.5724800782560036,1,4,2.0071,2.0,0.8186877243491562,1,3
125,1,3,2,0.7999999999999999,2.1,1.4303,1.0,0.5511278526803013,1,5,2.0093,2.0,0.8148702412040828,1,3
126,1,3,2,0.7999999999999999,2.2,1.4001,1.0,0.5383493196800754,1,4,2.0142,2.0,0.8171893048737238,1,3
